,en,vn,word_type,word_type_vn
17837,pectus,ngực,n,danh từ
17838,ped,"nhi, trẻ em",o)-,o)-
17839,ped,bàn chân,o)-,o)-
17840,pedal,bàn chân (th),a,tính từ
17841,pedarthrocace,mục khớp (trẻ em),n,danh từ
17842,pedatrophia,suy gầy trẻ em (sự),n,danh từ
17843,pederast,"ấu dâm nam, kê dâm (người)",n,danh từ
17844,pederasty,"ấu dâm nam, kê dâm, loạn dâm hậu môn",n,danh từ
17845,pederin,pederin,n,danh từ
17846,pederosis,ấu dâm,n,danh từ
17847,pedi-,bàn chân,pref.,tiền tố
17848,pedialgia,đau thần kinh bàn chân,n,danh từ
17849,pediatric,nhi khoa (th),a,tính từ
17850,pedicel,"cuống (lá, hoa, túi bào tử)",n,danh từ
17851,pedicellation,sinh cuống (sự),n,danh từ
17852,pedicle,cuống,n,danh từ
17853,pedicled,có cuống,a,tính từ
17854,pedicular,do chấy rận,a,tính từ
17855,pediculate,có cuống,a,tính từ
17856,pediculicide,diệt chấy rận (thuốc),"a,n",tính từ
17857,pediculosis,chấy rận (bh),n,danh từ
17858,pediculous,nhiễm chấy rận,a,tính từ
17859,pediluvium,ngâm chân (sự),n,danh từ
17860,pedionalgia,đau bàn chân,n,danh từ
17861,pediphalanx,đốt ngón chân,n,danh từ
17862,pedodontics,"nhi nha khoa, nha khoa trẻ em",n,danh từ
17863,pedodontist,"thầy nhi nha khoa, thầy nha khoa trẻ em",n,danh từ
17864,pedodynamometer,cơ lực kế cẳng chân,n,danh từ
17865,pedogamy,"tự giao, tự thụ tinh (tính), giao phối đồng hệ (sự) ",n,danh từ
17866,pedogenesis,ấu sinh (sự),n,danh từ
17867,pedograph,dấu bàn chân,n,danh từ
17868,pedologist,phát triển học trẻ em (nhà),n,danh từ
17869,pedology,phát triển học trẻ em,n,danh từ
17870,pedometer,đếm bước (dụng cụ),n,danh từ
17871,pedopathy,bệnh bàn chân,n,danh từ
17872,pedophobia,sợ trẻ em (ch),n,danh từ
17873,pedorthist,chỉnh trực chân (thầy),n,danh từ
17874,pedunculated,có cuống,a,tính từ
17875,pedunculotomy,mở cuống não (thth),n,danh từ
17876,pedunculus,cuống,n,danh từ
17877,peel,vỏ,n,danh từ
17878,peenash,viêm mũi do giòi,n,danh từ
17879,peg,chốt (cái),n,danh từ
17880,pegology,"khoáng tuyền học, môn học suối khoáng",n,danh từ
17881,peinotherapy,liệu pháp nhịn ăn,n,danh từ
17882,pelade,"trụi lông, truị tóc",n,danh từ
17883,pelagism,say sóng,n,danh từ
17884,pelidisi,"chỉ số Pirquet,  pelidisi",n,danh từ
17885,peliosis,ban xuất huyết,n,danh từ
17886,pellagragenic,gây pellagra,a,tính từ
17887,pellagrin,pellagra (bệnh nhân),n,danh từ
17888,pellagroid,dạng pellagra,a,tính từ
17889,pellagrologist,pellagra (chuyên gia),n,danh từ
17890,pellagrology,pellagra học,n,danh từ
17891,pellagrosis,hội chứng da trong pellagra,n,danh từ
17892,pellant,thanh lọc,a,tính từ
17893,pellate,"đẩy xa, tách rời",v,động từ
17894,pellet,"viên dẹt (cấy vào da), viên tròn, viên ngậm",n,danh từ
17895,pellicle,màng mỏng,n,danh từ
17896,pellucid,trong mờ,a,tính từ
17897,pelo-,bùn,pref.,tiền tố
17898,pelohemia,máu đặc,n,danh từ
17899,peloid,"dạng bùn, lầy bùn",a,tính từ
17900,pelotherapy,liệu pháp bùn,n,danh từ
17901,pelta,"khiên, mộc, thuẩn ",n,danh từ
17902,peltate,"hình khiên, dạng khiên",a,tính từ
17903,pelvic,khung chậu (th),a,tính từ
17904,pelvicellulitis,viêm mô quanh tử cung,n,danh từ
17905,pelvicephalography,đo X quang khung chậu-đầu thai nhi (thuật),n,danh từ
17906,pelvicephalometry,đo khung chậu-đầu thai nhi (phép),n,danh từ
17907,pelvifemoral,khung chậu-đùi (th),a,tính từ
17908,pelvifixation,cố định cơ quan vào khung chậu (thth),n,danh từ
17909,pelvilithotomy,lấy sỏi bể thận (thth),n,danh từ
17910,pelvimeter,đo khung chậu  (dụng cụ),n,danh từ
17911,pelvimetry,đo khung chậu (phép),n,danh từ
17912,pelviography,chụp khung chậu (thuật),n,danh từ
17913,pelvioileoneocystostomy,nối bể thận-hồi tràng-bàng quang (thth),n,danh từ
17914,pelvioneostomy,nối bể thận-niệu quản (thth),n,danh từ
17915,pelvioperitonitis,viêm màng bụng khung chậu,n,danh từ
17916,pelvioplasty,tạo hình bể thận,n,danh từ
17917,pelvioradiography,chụp khung chậu,n,danh từ
17918,pelviostomy,mở thông bể thận (thth),n,danh từ
17919,pelviperitonitis,viêm màng bụng-khung chậu,n,danh từ
17920,pelvirectal,khung chậu-trực tràng (th),a,tính từ
17921,pelvisacral,chậu-cùng (th),a,tính từ
17922,pelvisacrum,chậu-cùng (xương),n,danh từ
17923,pelviscope,soi khung chậu (dụng cụ),n,danh từ
17924,pelvisection,cắt xương chậu,n,danh từ
17925,pelvisternum,sụn khớp mu,n,danh từ
17926,pelvitomy,mở xương chậu (thth),n,danh từ
17927,pelvitrochanterian,xương chậu-mấu chuyển lớn (th),a,tính từ
17928,pelviureteral,bể thận-niệu quản (th),a,tính từ
17929,pelviureteroradiography,chụp bể thận-niệu quản (thuật),n,danh từ
17930,pelvospondylitis,viêm đốt sống phần xương chậu,n,danh từ
17931,pemphigoid,dạng pemphigut,a,tính từ
17932,pemphigus,pemphigut,n,danh từ
17933,pendelluft,hô hấp lắc lư,n,danh từ
17934,pendular,"đu đưa, lúc lắc",a,tính từ
17935,pendulous,"rủ, thõng",a,tính từ
17936,penectomy,cắt bỏ dương vật (thth),n,danh từ
17937,penetrability,xuyên thấu được (tính),n,danh từ
17938,penetrance,xuyên thấu (tính),n,danh từ
17939,penetrating,xuyên thấu,a,tính từ
17940,penetration,xuyên thấu (sự),n,danh từ
17941,penetrometer,"xuyên thấu kế,xuyên độ kế (tia X)",n,danh từ
17942,penia,"thiếu, giảm",suff.,hậu tố
17943,penicilliary,"giống bàn chải, giống cái chỗi",a,tính từ
17944,penicillin,penicillin,n,danh từ
17945,penicillinase,penicillinase,n,danh từ
17946,penicillin-fast,kháng penicillin,a,tính từ
17947,penicilliosis,nhiễm Penicillium (bh),n,danh từ
17948,Penicillium,"Penicillium, nấm chổi",n,danh từ
17949,penicillus,cấu trúc hình bàn chải,n,danh từ
17950,penile,dương vật (th),a,tính từ
17951,penis,dương vật,n,danh từ
17952,penischisis,chẻ dương vật (tình trạng),n,danh từ
17953,penitis,viêm dương vật,n,danh từ
17954,pennyroyal,bạc hà hăng (cây) (Mentha pulegium),n,danh từ
17955,pennyweight,"penni[đơn vị trọng lượng = 24 grains (1 grain = 0,0648gam)]  ",n,danh từ
17956,penology,hình phạt học,n,danh từ
17957,penoscrotal,dương vật-bìu (th),a,tính từ
17958,pentabasic,pentabasic,a,tính từ
17959,pentacyclic,", năm vòng",a,tính từ
17960,pentadactyl,năm ngón,a,tính từ
17961,pentalogy,ngũ chứng Fallot,n,danh từ
17962,pentamer,pentamer,a,tính từ
17963,pentane,pentan,n,danh từ
17964,pentapeptide,pentapeptid,n,danh từ
17965,pentaploidy,ngũ bội (tính),n,danh từ
17966,pentasomy,"năm nhiễm sắc thể (tính),  TQ , thể năm nhiễm sắc",n,danh từ
17967,pentastarch,pentastarch,n,danh từ
17968,Pentastoma,Pentastoma (trùng hình lưỡi),n,danh từ
17969,pentastomiasis,bệnh do pentastomid,n,danh từ
17970,pentastomid,pentastomid  (ký sinh trùng thuộc lớp Pentastomida),n,danh từ
17971,Pentastomida,"Pentastomida, lớp Miệng móc ",n,danh từ
17972,pentatomic,năm nguyên tử (th),a,tính từ
17973,Pentatrichomonas,Pentatrichomonas,n,danh từ
17974,pentavaccine,vacxin ngũ liên,n,danh từ
17975,pentdyopent,pentdyopent,n,danh từ
17976,pentose,pentose,n,danh từ
17977,pentosemia,pentose-huyết,n,danh từ
17978,Pentothal,"Pentothal, thiopenthal",n,danh từ
17979,penumbra,vùng nửa tối,n,danh từ
17980,peotillomania,"thích thoa dương vật, giả thủ dâm",n,danh từ
17981,peotomy,cắt bỏ dương vật (thth),n,danh từ
17982,peplomer,màng bao hạt (virut),n,danh từ
17983,peplos,vỏ bao virut,n,danh từ
17984,pepper,hạt tiêu,n,danh từ
17985,peppermint,bạc hà cay (cây),n,danh từ
17986,pepsin,pepsin,n,danh từ
17987,pepsinate,xử lý bằng pepsin,v,động từ
17988,pepsinia,tiết pepsin (sự),n,danh từ
17989,pepsiniferous,"sản sinh pepsin, tiết pepsin",a,tính từ
17990,pepsinogen,pepsinogen,n,danh từ
17991,pepsinogenous,sản sinh pepsin,a,tính từ
17992,pepsinuria,pepsin-niệu,n,danh từ
17993,peptic,pepsin (th) ; tiêu hóa (th),a,tính từ
17994,peptid,peptid,n,danh từ
17995,peptidase,peptidase,n,danh từ
17996,peptide,peptid,n,danh từ
17997,peptidoglycan,peptidoglycan,n,danh từ
17998,peptinotoxin,độc tố pepsin,n,danh từ
17999,peptization,"hòa tan keo, chuyển sang dạng sol (sự) ",n,danh từ
18000,Peptococcus,Peptococcus,n,danh từ
18001,peptone,pepton,n,danh từ
18002,peptonic,pepton (th),a,tính từ
18003,peptonize,pepton hóa,v,động từ
18004,peptonuria,pepton-niệu,n,danh từ
18005,Peptostreptococcus,Peptostreptococcus,n,danh từ
18006,peptotoxin,độc tố pepton,n,danh từ
18007,per,"bằng đường, qua đường",L,L
18008,per-,"hoàn toàn, triệt để, cực kỳ;  per (Hóa)",pref.,tiền tố
18009,per anum,qua hậu môn,L,L
18010,per contiguum,tiếp xúc,L,L
18011,per continuum,liên tục,L,L
18012,per cutem,xuyên da,L,L
18013,peracephalus,quái thai không đầu không tay,n,danh từ
18014,peracetate,peracetat,n,danh từ
18015,peracid,peraxit,n,danh từ
18016,peracidity,tăng độ axit,n,danh từ
18017,peracute,tối cấp,a,tính từ
18018,perarticulation,khớp động,n,danh từ
18019,percentile,"phân vi, số bách phân vi",n,danh từ
18020,percentual,tỷ lệ phần trăm (th),a,tính từ
18021,percept,"cảm giác, tri giác, ấn tượng,",n,danh từ
18022,perception,"tri giác, khái niệm
linh cảm, ngoại cảm","n)
    extrasensory perceptio","n)
    extrasensory perceptio"
18023,perceptivity,"khả năng tri giác, tính cảm thụ",n,danh từ
18024,perchloride,perchlorur,n,danh từ
18025,percolate,"[[thấm lọc]]  (v). ngâm chiết, ngâm kiệt, thấm tách. (n). ngâm chiết, ngâm kiệt, thấm tách (dịch) ","v,n",danh từ
18026,percolation,"ngâm chiết, ngâm kiệt, thấm tách (sự)",n,danh từ
18027,percolator,"ngâm chiết, ngâm kiệt, thấm tách. (dụng cụ)",n,danh từ
18028,percuss,gõ,v,động từ
18029,percussible,phát hiện ra khi gõ,a,tính từ
18030,percussion,gõ chẩn,n,danh từ
18031,percussopunctator,mai hoa châm (dụng cụ),n,danh từ
18032,percussor,gõ chẩn (dụng cụ),n,danh từ
18033,percutaneous,xuyên da,a,tính từ
18034,perencephaly,u nang não,n,danh từ
18035,perennial,"thường niên, quanh năm",a,tính từ
18036,perfectionism,chủ nghĩa cầu toàn,n,danh từ
18037,perflation,thổi đẩy chất dịch (phép),n,danh từ
18038,perforans,xuyên thủng,a,tính từ
18039,perforated,thủng,a,tính từ
18040,perforator,khoan (cái),n,danh từ
18041,perforatorium,đầu tinh trùng; thể ngọn. (Thực),n,danh từ
18042,performance,"thực hiện (sự), hiệu suất, tiến hành (sự)",n,danh từ
18043,perfrication,"xoa thuốc, xoa dầu",n,danh từ
18044,perfrigeration,phát cước (sự),n,danh từ
18045,perfusate,dịch truyền,n,danh từ
18046,perfuse,truyền dịch,v,động từ
18047,perfusion,1 truyền dịch (sự). 2. dịch truyền,n,danh từ
18048,perfusionist,truyền dịch (người),n,danh từ
18049,peri-,"chu, quanh",suff.,hậu tố
18050,periadenitis,viêm quanh hạch,n,danh từ
18051,periadventitial,quanh ngoại mạc,a,tính từ
18052,perialienitis,viêm quanh dị vật,n,danh từ
18053,periampullary,quanh bóng,a,tính từ
18054,perianal,quanh hậu môn,a,tính từ
18055,periangiitis,viêm quanh mạch,n,danh từ
18056,periangiocholitis,viêm quanh ống mật,n,danh từ
18057,periangioma,u quanh mạch,n,danh từ
18058,perianth,bao hoa,n,danh từ
18059,periaortic,quanh động mạch chủ,a,tính từ
18060,periaortitis,viêm quanh động mạch chủ,n,danh từ
18061,periapex,quanh chóp chân răng,n,danh từ
18062,periapical,quanh chóp răng,a,tính từ
18063,periappendicitis,viêm quanh ruột thừa,n,danh từ
18064,periappendicular,quanh ruột thừa,a,tính từ
18065,periapt,bùa khử bệnh,n,danh từ
18066,periaqueductal,quanh cống,a,tính từ
18067,periarterial,quanh động mạch,a,tính từ
18068,periarteritis,viêm quanh động mạch,n,danh từ
18069,periarthric,quanh khớp,a,tính từ
18070,periarthritis,viêm quanh khớp,n,danh từ
18071,periarticular,quanh khớp,a,tính từ
18072,periatrial,quanh tâm nhĩ,a,tính từ
18073,periaxial,quanh trục,a,tính từ
18074,periaxillary,quanh nách,a,tính từ
18075,periaxonal,quanh sợi trục,a,tính từ
18076,periblast,ngoại phôi bì,n,danh từ
18077,periblepsis,nhìn chằm tâm thần,n,danh từ
18078,peribronchial,quanh phế quản,a,tính từ
18079,peribronchiolar,quanh tiểu phế quản,a,tính từ
18080,peribronchiolitis,viêm quanh tiểu phế quản,n,danh từ
18081,peribronchitis,viêm quanh phế quản,n,danh từ
18082,peribulbar,quanh nhãn cầu,a,tính từ
18083,peribursal,"quanh túi, quanh nang",a,tính từ
18084,pericallosal,quanh thể chai,a,tính từ
18085,pericanalicular,quanh tiểu quản,a,tính từ
18086,pericapillary,quanh mao mạch,a,tính từ
18087,pericapsular,quanh bao,a,tính từ
18088,pericardiectomy,cắt bỏ màng ngoài tim (thth),n,danh từ
18089,pericardiocentesis,chọc màng ngoài tim (thth),n,danh từ
18090,pericardiolysis,bóc dính màng ngoài tim (thth),n,danh từ
18091,pericardiomediastinitis,viêm màng ngoài tim-trung thất,n,danh từ
18092,pericardiophrenic,màng ngoài tim-cơ hoành (th),a,tính từ
18093,pericardiopleural,màng ngoài tim-màng phổi (th),a,tính từ
18094,pericardiorrhaphy,khâu màng ngoài tim (thth),n,danh từ
18095,pericardiostomy,mở thông màng ngoài tim (thth),n,danh từ
18096,pericardiotomy,mở màng ngoài tim (thth),n,danh từ
18097,pericardium,màng ngoài tim,n,danh từ
18098,pericarp,"vỏ quả, quả bì",n,danh từ
18099,pericecal,quanh manh tràng,a,tính từ
18100,pericecitis,viêm quanh manh tràng,n,danh từ
18101,pericellular,quanh tế bào,a,tính từ
18102,pericemental,dây chằng quanh răng (th),a,tính từ
18103,pericementitis,viêm dây chằng quanh răng,n,danh từ
18104,pericementum,"dây chằng quanh răng, màng quanh răng",n,danh từ
18105,pericentral,quanh trung tâm,a,tính từ
18106,pericentriolar,quanh hạt trung tâm,a,tính từ
18107,pericephalic,quanh đầu,a,tính từ
18108,pericholangitis,viêm quanh ống mật,n,danh từ
18109,pericholecystitis,viêm quanh túi mật,n,danh từ
18110,perichondrial,quanh màng sụn (th),a,tính từ
18111,perichondritis,viêm quanh màng sụn,n,danh từ
18112,perichondrium,màng sụn,n,danh từ
18113,perichondroma,u màng sụn,n,danh từ
18114,perichord,màng nguyên sống,n,danh từ
18115,perichordal,quanh nguyên sống,a,tính từ
18116,perichrome,tế bào chu nhiễm,n,danh từ
18117,pericolic,quanh kết tràng,a,tính từ
18118,pericolpitis,viêm quanh âm đạo,n,danh từ
18119,periconchal,quanh xoăn tai,n,danh từ
18120,periconchitis,viêm màng xương ổ mắt,n,danh từ
18121,pericorneal,quanh giác mạc,a,tính từ
18122,pericoronal,quanh thân răng,a,tính từ
18123,pericoronitis,viêm quanh thân răng,n,danh từ
18124,pericoxitis,viêm quanh khớp háng,n,danh từ
18125,pericranial,màng xương sọ ngoài (th),a,tính từ
18126,pericranitis,viêm màng xương sọ ngoài,n,danh từ
18127,pericranium,màng xương sọ ngoài,n,danh từ
18128,pericycle,"trụ bì, vỏ trụ, bao trụ",n,danh từ
18129,pericystic,quanh nang,a,tính từ
18130,pericystitis,viêm quanh bàng quang,n,danh từ
18131,pericystium,màng mạch quanh nang,n,danh từ
18132,pericyte,"tế bào quanh mạch, tế bào Rouget",n,danh từ
18133,pericytial,quanh tế bào,a,tính từ
18134,pericytoma,u tế bào quanh mao mạch,n,danh từ
18135,peridectomy,cắt quanh giác mạc (thth),n,danh từ
18136,perideferentitis,viêm quanh ống tinh,n,danh từ
18137,peridendritic,quanh sợi nhánh,a,tính từ
18138,peridens,"răng thừa kế cận,răng mọc ngoài cung răng",n,danh từ
18139,peridental,"quanh răng, nha chu",a,tính từ
18140,peridesmic,quanh dây chằng ; áo dây chằng (th),a,tính từ
18141,peridesmitis,viêm áo dây chằng,n,danh từ
18142,peridesmium,"áo dây chằng, màng bao dây chằng",n,danh từ
18143,perididymis,màng xơ tinh hoàn,n,danh từ
18144,perididymitis,viêm màng xơ tinh hoàn,n,danh từ
18145,peridium,"vỏ cuống bào tử, vỏ sợi nấm",n,danh từ
18146,peridiverticulitis,viêm túi thừa,n,danh từ
18147,peridontium,"mô nha chu, mô quanh răng",n,danh từ
18148,periduodenitis,viêm quanh tá tràng,n,danh từ
18149,peridural,quanh màng cứng,a,tính từ
18150,peridurogram,chụp quanh màng cứng (phim),n,danh từ
18151,peridurography,chụp quanh màng cứng (thuật),n,danh từ
18152,periencephalitis,viêm quanh não,n,danh từ
18153,periencephalography,chụp màng não (thuật),n,danh từ
18154,periencephalomeningitis,viêm vỏ não-màng não,n,danh từ
18155,perienteric,quanh ruột,a,tính từ
18156,perienteritis,"viêm màng ngoài ruột, viêm phúc mạc tạng ",n,danh từ
18157,perienteron,"khoang tạng phôi, khoang phúc mạc phôi,",n,danh từ
18158,periependymal,quanh ống nôi tủy,a,tính từ
18159,periesophageal,quanh ống thực quản,a,tính từ
18160,periesophagitis,viêm quanh ống thực quản,n,danh từ
18161,perifascicular,quanh bó,a,tính từ
18162,perifistular,quanh đường rò,a,tính từ
18163,perifocal,quanh ổ  bệnh,a,tính từ
18164,perifollicular,quanh nang lông,a,tính từ
18165,perifolliculitis,viêm quanh nang lông,n,danh từ
18166,perigangliitis,viêm quanh hạch,n,danh từ
18167,periganglionic,quanh hạch,a,tính từ
18168,perigastric,quanh dạ dày,a,tính từ
18169,perigastritis,viêm quanh dạ dày,n,danh từ
18170,perigemmal,"quanh chồi, quanh núm",a,tính từ
18171,periglandular,quanh tuyến,a,tính từ
18172,periglandulitis,viêm quanh tuyến,n,danh từ
18173,periglial,quanh tế bào thần kinh đệm,a,tính từ
18174,periglossitis,viêm quanh lưỡi,n,danh từ
18175,periglottic,quanh lưỡi,a,tính từ
18176,periglottis,niêm mạc lưỡi,n,danh từ
18177,perigraft,quanh mảnh ghép,a,tính từ
18178,perihepatic,quanh gan,a,tính từ
18179,perihepatitis,viêm quanh gan,n,danh từ
18180,perihernial,quanh thoát vị,a,tính từ
18181,perihilar,quanh rốn,a,tính từ
18182,peri-insular,quanh thùy đảo,a,tính từ
18183,peri-islet,quanh đảo tụy (đảo Langerhans),a,tính từ
18184,perijejunitis,viêm quanh hỗng tràng,n,danh từ
18185,perikaryon,thể quanh nhân,n,danh từ
18186,perikeratic,quanh giác mạc,a,tính từ
18187,perilabyrinth,quanh mê đạo,n,danh từ
18188,perilabyrinthitis,viêm quanh mê đạo,n,danh từ
18189,perilaryngeal,quanh thanh quản,a,tính từ
18190,perilaryngitis,viêm quanh thanh quản,n,danh từ
18191,perilenticular,quanh thủy tinh thể,a,tính từ
18192,perilesional,quanh tổn thương,a,tính từ
18193,periligamentous,quanh dây chằng,a,tính từ
18194,perilobar,quanh thùy,a,tính từ
18195,perilobulitis,viêm quanh thùy,n,danh từ
18196,perilymphadenitis,viêm quanh hạch bạch huyết,n,danh từ
18197,perilymphangeal,quanh mạch bạch huyết,a,tính từ
18198,perilymphangitis,viêm quanh mạch bạch huyết,n,danh từ
18199,perimastitis,viêm quanh vú,n,danh từ
18200,perimedullary,quanh tủy,a,tính từ
18201,perimeningitis,viêm màng cứng,n,danh từ
18202,perimetritic,thanh mạc tử cung (th),a,tính từ
18203,perimetritis,viêm thanh mạc tử cung,n,danh từ
18204,perimetrium,thanh mạc tử cung,n,danh từ
18205,perimetrosalpingitis,viêm quanh tử cung-vòi tử cung,n,danh từ
18206,perimetry,đo thị trường (phép),n,danh từ
18207,perimolysis,ăn mòn lớp cứng  thân răng (sự),n,danh từ
18208,perimyelis,màng ống tủy xương,n,danh từ
18209,perimyelography,"chụp khoang dưới màng nhện tủy sống?, chụp quanh tủy sống (thuật)",n,danh từ
18210,perimyocarditis,viêm màng ngoài tim-cơ tim,n,danh từ
18211,perimyoendocarditis,"viêm màng ngoài-cơ-màng trong tim , viêm toàn tim",n,danh từ
18212,perimyositis,viêm quanh cơ,n,danh từ
18213,perimysial,mô bao cơ (th),a,tính từ
18214,perimysium,mô bao cơ,n,danh từ
18215,perinatal,chu sinh,a,tính từ
18216,perinatologist,chu sinh học (nhà),n,danh từ
18217,perinatology,chu sinh học,n,danh từ
18218,perineal,đáy chậu (th),a,tính từ
18219,perineocele,thoát vị đáy chậu,n,danh từ
18220,perineoplasty,tạo hình đáy chậu (thth),n,danh từ
18221,perineorrhaphy,khâu đáy chậu (thth),n,danh từ
18222,perineoscrotal,đáy chậu-bìu (th),a,tính từ
18223,perineotomy,mở đáy chậu (thth),n,danh từ
18224,perineovaginal,đáy chậu-âm đạo (th),n,danh từ
18225,perineovaginorectal,đáy chậu-âm đạo-trực tràng (th),a,tính từ
18226,perineovulvar,đáy chậu-âm hộ (th),a,tính từ
18227,perinephrial,mô quanh thận (th),a,tính từ
18228,perinephric,quanh thận,a,tính từ
18229,perinephritic,viêm mô quanh thận (th),n,danh từ
18230,perinephritis,viêm mô quanh thận,n,danh từ
18231,perinephrium,mô quanh thận,n,danh từ
18232,perineum,đáy chậu,n,danh từ
18233,perineural,quanh thần kinh,a,tính từ
18234,perineurial,bao thần kinh (th),a,tính từ
18235,perineurium,bao thần kinh,n,danh từ
18236,perinuclear,quanh nhân,a,tính từ
18237,periocular,quanh mắt,a,tính từ
18238,period,"1.kỳ, thời kỳ, chu kỳ. 2. kinh nguyệt",n,danh từ
18239,periodate,periodat,n,danh từ
18240,periodicity,"chu kỳ (tính), định kỳ (tính)",n,danh từ
18241,periodontal,nha chu (th),a,tính từ
18242,periodontist,chuyên gia nha chu,n,danh từ
18243,periodontitis,viêm nha chu,n,danh từ
18244,periodontoclasia,hủy hoại mô quanh răng,n,danh từ
18245,periodontology,bệnh học nha chu,n,danh từ
18246,periodontosis,"thoái hóa nha chu, hư quanh răng ",n,danh từ
18247,periomphalic,quanh rốn,a,tính từ
18248,perionychia,viêm kẽ móng,n,danh từ
18249,perionychium,biểu bì viền móng,n,danh từ
18250,perionyx,di tích biểu bì móng (thai nhi),n,danh từ
18251,perioophoritis,viêm quanh buồng trứng,n,danh từ
18252,perioophorosalpingitis,viêm quanh buồng trứng-ống dẫn trứng,n,danh từ
18253,perioperative,trước và sau phẩu thuật,a,tính từ
18254,periophthalmic,quanh mắt,a,tính từ
18255,periople,bao móng (động vật móng guốc),n,danh từ
18256,perioptometry,đo chu vi thị trưỡng (phép),n,danh từ
18257,perioral,quanh miệng,a,tính từ
18258,periorbital,quanh hốc (ổ) mắt,a,tính từ
18259,periorchitis,viêm tinh mạc,n,danh từ
18260,periorchium,lá thành tinh mạc,n,danh từ
18261,periosteitis,viêm màng xương,n,danh từ
18262,periosteoma,u màng xương,n,danh từ
18263,periosteomedullitis,viêm màng xương-tủy xương,n,danh từ
18264,periosteomyelitis,viêm toàn xương,n,danh từ
18265,periosteophyte,gai màng xương,n,danh từ
18266,periosteorrhaphy,khâu màng xương (thth),n,danh từ
18267,periosteotome,dao cắt màng xương,n,danh từ
18268,periosteotomy,cắt màng xương (thth),n,danh từ
18269,periostitis,viêm màng xương,n,danh từ
18270,periostosis,dày màng xương (ch),n,danh từ
18271,periostosteitis,viêm xương-màng xương,n,danh từ
18272,periovaritis,viêm quanh buồng trứng,n,danh từ
18273,periovular,"quanh noãn, quanh trứng",a,tính từ
18274,peripachymeningitis,viêm quanh màng não cứng,n,danh từ
18275,peripancreatic,quanh tụy,a,tính từ
18276,peripancreatitis,viêm quanh tụy,n,danh từ
18277,peripapillary,"quanh gai thị, quanh đĩa thị",a,tính từ
18278,peripartum,chu sinh (kỳ),n,danh từ
18279,peripatellar,quanh xương bánh chè,a,tính từ
18280,peripatetic,đi lại,a,tính từ
18281,peripenial,quanh dương vật,a,tính từ
18282,peripharyngeal,quanh thực quản,a,tính từ
18283,peripherad,hướng ngoại biên,ad,tính từ
18284,peripheral,"ngoại vi , ngoại biên (th)",a,tính từ
18285,peripheralis,"ngoại vi, chu vi,  ",a,tính từ
18286,peripheraphose,ảo thị ảnh ngoại vi,n,danh từ
18287,peripherocentral,ngoại vi-trung tâm (th),a,tính từ
18288,peripherophose,ảo thị ánh sáng ngoại vi,n,danh từ
18289,peripheroceptor,bộ phận nhận cảm ngoại vi,n,danh từ
18290,periphery,"phần ngoại vi, phần chu vi",n,danh từ
18291,periphoria,lác ẩn vòng,n,danh từ
18292,periphrastic,"nói quanh co, nói lải nhải (th) [la sách]",a,tính từ
18293,periphrenitis,viêm quanh cơ hoành,n,danh từ
18294,peripleural,quanh màng phổi,a,tính từ
18295,peripleuritis,viêm quanh màng phổi,n,danh từ
18296,periplocin,periplocin,n,danh từ
18297,peripolar,quanh cực,a,tính từ
18298,peripolesis,vận động quanh biên (sự) (sự tụ tập lymphô quanh đại thực bào),n,danh từ
18299,periporitis,viêm quanh lỗ mồ hôi,n,danh từ
18300,periportal,quanh tĩnh mạch cửa,a,tính từ
18301,periproctic,quanh hậu môn,a,tính từ
18302,periproctitis,viêm quanh trực tràng-hậu môn,n,danh từ
18303,periprostatic,quanh tiền liệt tuyến,a,tính từ
18304,periprostatitis,viêm quanh tiền liệt tuyến,n,danh từ
18305,peripyema,viêm mủ quanh,n,danh từ
18306,peripylephlebitis,viêm quanh tĩnh mạch cửa,n,danh từ
18307,peripyloric,quanh môn vị,a,tính từ
18308,periradicular,quanh rễ,a,tính từ
18309,perirectal,quanh trực tràng,a,tính từ
18310,perirenal,quanh thận,a,tính từ
18311,perirhinal,quanh mũi,a,tính từ
18312,perirhizoclasia,viêm hủy chân răng,n,danh từ
18313,perisalpingitis,"viêm quanh vòi tử cung, viêm màng bụng vòi tử cung ",n,danh từ
18314,perisalpingo-ovaritis,viêm quanh vòi tử cung-buồng trứng,n,danh từ
18315,perisalpinx,màng bụng vòi tử cung,n,danh từ
18316,perisclerium,mô xơ trên sụn??? (mô xơ quanh sụn cốt hóa),n,danh từ
18317,periscopic,"kính tiềm vọng (th),[[đại giác độ,chu thị]]",a,tính từ
18318,perisigmoiditis,viêm quanh quai xích ma,n,danh từ
18319,perisinuous,quanh xoang,a,tính từ
18320,perispermatitis,quanh thừng tinh,n,danh từ
18321,perisplanchnic,quanh nội tạng,a,tính từ
18322,perisplanchnitis,viêm quanh nội tạng,n,danh từ
18323,perisplenic,quanh lách,a,tính từ
18324,perisplenitis,viêm quanh lách,n,danh từ
18325,perispondylic,quanh đốt sống,a,tính từ
18326,perispondylitis,viêm quanh đốt sống,n,danh từ
18327,perissodactylous,số ngón lẻ (có),a,tính từ
18328,peristaphyline,quanh lưỡi gà,a,tính từ
18329,peristasis,"môi trường, môi sinh",n,danh từ
18330,peristrumitis,viêm quanh bướu cổ,n,danh từ
18331,peristrumous,quanh bướu cổ,a,tính từ
18332,perisynovial,quanh màng hoạt dịch,a,tính từ
